mse,l1,l0,loss
28.14018440246582,0.6394193768501282,0.4928245544433594,28.140823364257812
20.423114776611328,0.6324297189712524,0.4907207489013672,20.423748016357422
13.191469192504883,0.6376752257347107,0.48955345153808594,13.192107200622559
10.186807632446289,0.6920269727706909,0.4856986999511719,10.1875
6.977051734924316,0.6582378149032593,0.4798164367675781,6.977709770202637
5.0997185707092285,0.6848405003547668,0.4738311767578125,5.100403308868408
3.40216064453125,0.6536069512367249,0.4658031463623047,3.4028141498565674
3.0851807594299316,0.6735546588897705,0.45805931091308594,3.0858542919158936
3.1170654296875,0.7518632411956787,0.45062255859375,3.1178174018859863
2.2623860836029053,0.7389600872993469,0.44362640380859375,2.263124942779541
1.9257413148880005,0.7746243476867676,0.4370231628417969,1.9265159368515015
1.6224315166473389,0.7710762023925781,0.43189048767089844,1.6232025623321533
1.479683518409729,0.7501963376998901,0.42635536193847656,1.480433702468872
1.4116590023040771,0.680264949798584,0.4222240447998047,1.412339210510254
1.57643461227417,0.7302794456481934,0.41710853576660156,1.577164888381958
1.6089340448379517,0.698661208152771,0.412872314453125,1.6096327304840088
1.5848653316497803,0.6800359487533569,0.40863037109375,1.5855454206466675
1.512742042541504,0.673525333404541,0.40531349182128906,1.5134155750274658
1.5677509307861328,0.756256103515625,0.4018421173095703,1.568507194519043
1.2832589149475098,0.7133415341377258,0.39959716796875,1.2839722633361816
1.0506651401519775,0.7102814316749573,0.3970928192138672,1.051375389099121
0.7772909998893738,0.6742152571678162,0.3953056335449219,0.7779651880264282
0.5589966773986816,0.6430521607398987,0.3928699493408203,0.5596397519111633
0.4157162308692932,0.6334602236747742,0.3909931182861328,0.4163496792316437
0.3296813368797302,0.6108925342559814,0.39012718200683594,0.3302922248840332
0.305907666683197,0.5995364189147949,0.38788414001464844,0.3065072000026703
0.3026946485042572,0.632326602935791,0.3876361846923828,0.30332696437835693
0.38168156147003174,0.6495370864868164,0.38506317138671875,0.38233110308647156
0.3811177909374237,0.6190861463546753,0.3827686309814453,0.3817368745803833
0.3533797860145569,0.5953371524810791,0.37939453125,0.3539751172065735
0.3780114948749542,0.6572847366333008,0.3802356719970703,0.37866878509521484
0.3371509313583374,0.5984988212585449,0.37655067443847656,0.3377494215965271
0.3456224203109741,0.5717639327049255,0.37249755859375,0.34619417786598206
0.3445504903793335,0.6225166320800781,0.3729057312011719,0.3451730012893677
0.3145318627357483,0.6161975264549255,0.3721809387207031,0.3151480555534363
0.2523235082626343,0.5518022775650024,0.3678913116455078,0.25287529826164246
0.28497910499572754,0.64316725730896,0.36852455139160156,0.2856222689151764
0.20220814645290375,0.5723003149032593,0.36685752868652344,0.20278044044971466
0.19174820184707642,0.6210153102874756,0.3663349151611328,0.1923692226409912
